filename,extracted_text (colon separated),word (colon separated),similarity
.\Data\SVT\00_00.jpg,:dol:hut:tapbeer:,,
.\Data\SVT\00_05.jpg,:1+:daieim:muz1o:,,
.\Data\SVT\00_07.jpg,:1:anaheim:band:instruments:,,
.\Data\SVT\00_09.jpg,:3,uuu:9:doly:goodwill:items:new:over:stocied:store:,
.\Data\SVT\00_10.jpg,:angelo:bot:car:carlnoe:hamburgers:laundromat:rop:s:servicb:tad sote:welcome:,,
.\Data\SVT\00_11.jpg,:+:7o:ford:mills:welcome:,,
.\Data\SVT\00_12.jpg,:s:subwa:,,
.\Data\SVT\00_14.jpg,:house:original:pancake:parking:,,
.\Data\SVT\01_01.jpg,:budget:,,
.\Data\SVT\01_02.jpg,:sol's:,,
.\Data\SVT\01_04.jpg,:shell:,,
.\Data\SVT\01_05.jpg,:0o:1:2bdo:enterprise:rent-acor:,,
.\Data\SVT\01_09.jpg,:corner:greek:hinvr:nick's:or:,,
.\Data\SVT\01_10.jpg,:payless:sheesouree:,,
.\Data\SVT\01_13.jpg,:700:b:gay:i:icebox:ni:ool:pparel:products:promotional:stuff:th:the:,,
.\Data\SVT\01_16.jpg,:a:b:e:m:s:ssy:y:,,
.\Data\SVT\01_18.jpg,:fdc:hotel:quality:,,
.\Data\SVT\01_19.jpg,:202:heftz:,,
.\Data\SVT\02_03.jpg,:1400:community:dunbar:high:laurence:orleans:paul:school:street:,,
.\Data\SVT\02_04.jpg,:-4455:bre:buffalo:camden:catering:drat brer:dratt:eclas:favori:i:karaoke:n:pub:sp:specials:the:www.camdenp:,,
.\Data\SVT\02_07.jpg,:(gig:,,
.\Data\SVT\02_09.jpg,:&:b:cafeteria:hotel:mount:vernon:,,
.\Data\SVT\02_11.jpg,:cuisine:hhirish:thai:,,
.\Data\SVT\02_12.jpg,:coree:ealinone:scores:,,
.\Data\SVT\02_14.jpg,:0701:6:chiapparelli's:,,
.\Data\SVT\02_16.jpg,:2forss:beer:day:drank:fl:game:hamptontnr.:here:latina:pickles:pub:specials:wise:,,
.\Data\SVT\02_19.jpg,:altera:arcade:brown's:clea:clean:dr:dry:expe:hair:inside:located:salon:se:,,
.\Data\SVT\03_00.jpg,:mountain:pub:pub & 8rpwery:sun:,,
.\Data\SVT\03_01.jpg,:2709:boot:fitting:g:gasiiie:larry's:spruoe:street:,,
.\Data\SVT\03_02.jpg,:beads:ow:pen:,,
.\Data\SVT\03_08.jpg,:mberline:,,
.\Data\SVT\03_12.jpg,:trident:,,
.\Data\SVT\03_14.jpg,:14th:2010:best:himalayas:idianluncf:resitaranito:stree:,,
.\Data\SVT\03_15.jpg,:7fx:cookin:heat:horton:poc:reverend:sfloet:tnrjgrrce:,,
.\Data\SVT\03_18.jpg,:barnsley:co.:g:tire:,,
.\Data\SVT\04_01.jpg,:&:a/c:b:chiropractic:deli:di:fortllease:fresh:garny:giulio:meat:meat &:piken:,,
.\Data\SVT\04_03.jpg,:446:b:barber:color:cut:erm:modern:,,
.\Data\SVT\04_04.jpg,:563-4:564410:b:glenoaks:maste:master:nail:nails:s:,,
.\Data\SVT\04_05.jpg,:b:church:first:methodist:united:,,
.\Data\SVT\04_07.jpg,:b:glenoaks 5:mobile:t:,,
.\Data\SVT\04_14.jpg,:1-6626:920:accountancy:closed:m&m:mers:theeamo:y:,,
.\Data\SVT\04_17.jpg,:5:baut:buy:deivers:e:get:gifts:pizza:tas:,,
.\Data\SVT\04_19.jpg,:&:2ubina's:b:cleaners:cut:glenoaks:laundry:open:salon:uty:,,
.\Data\SVT\05_01.jpg,:moon:palace:,,
.\Data\SVT\05_03.jpg,:+d:wholefoods:,,
.\Data\SVT\05_05.jpg,:#:draperies:fabrics:fine:fishinans:it.c:nc.:sais:,,
.\Data\SVT\05_06.jpg,:b:jerome:school:st:,,
.\Data\SVT\05_08.jpg,:0225-888:1225-b888:13:a:a+:chinatown:e 46:hotel:,,
.\Data\SVT\05_10.jpg,:+d:chicadd:gra:grandsiand:grandstand:police:,,
.\Data\SVT\05_11.jpg,:&:+d:3:certied:corner:gpocers:grill:martin's:rar:,,
.\Data\SVT\05_13.jpg,:at&t:game:stop:,,
.\Data\SVT\05_14.jpg,:a+:de:la:salle:,,
.\Data\SVT\05_16.jpg,:target:,,
.\Data\SVT\06_00.jpg,:$1:8:deli:espressi:fine:food:fresh:immy's:imports:italian:meats:plus:sausages:shot:store:ttalian:,,
.\Data\SVT\06_01.jpg,:cafe:garde:girden:,,
.\Data\SVT\06_02.jpg,:1924:bar:bluecollar:the:,,
.\Data\SVT\06_04.jpg,:ale:beer:beer-winelotto-phone:cards:che:or:save-way:ur:wine:,,
.\Data\SVT\06_08.jpg,:antioue:asanineue:b's:free:g:lals:lula:mall:ope:rear:rking:z10330:,,
.\Data\SVT\06_12.jpg,:covffee:st-arbucks:,,
.\Data\SVT\06_15.jpg,:daysurgery:p:physicians:,,
.\Data\SVT\07_00.jpg,:00:books:capitol:e:h:u:,,
.\Data\SVT\07_05.jpg,:13thave:bender's:br:domino's:ta:,,
.\Data\SVT\07_06.jpg,:&:8612057:b:bakery:capitol:custom:do:for:gentlemen:ladies:sjewelryg:tailors:watercou:,,
.\Data\SVT\07_07.jpg,":""we:&:6:8:alaskan:are:custom:days!:framing:have:hollywood:in:more:movie:only:posters:quality:rock:t:than:the:there:world!"":",,
.\Data\SVT\07_08.jpg,:57:avenue:tneatey:,,
.\Data\SVT\07_10.jpg,:day:every:medonald's:,,
.\Data\SVT\07_13.jpg,:1275:b:jsubs:quizno's:quiznos:subs:,,
.\Data\SVT\07_14.jpg,:and:b:brown:comfort:cor:fort:hotel:inn:palace:spa:,,
.\Data\SVT\07_16.jpg,":620:ana:b:e.13"":ewoused:ga0:i:records:trax:wax:",,
.\Data\SVT\07_17.jpg,:303:303-832-6611:6612:832:chinese:ea:fax:fooi:great:tel:wall:,,
.\Data\SVT\07_19.jpg,:(303):-hotel:7228:777-7777:cab:tuazy:warwick:yellow:,,
.\Data\SVT\08_04.jpg,:alenc:center:hess:oine:,,
.\Data\SVT\08_05.jpg,:a+:plaza:shelll:two:,,
.\Data\SVT\08_10.jpg,:1oo1:a+:mckinney:,,
.\Data\SVT\08_14.jpg,:atet:,,
